"CU","gazetted_stream_name","n","earliest","recent"
"Bowron-ES","Bowron River",1,1995,1995
"Chilliwack-ES","Chilliwack River (Upper)",3,2012,2020
"Francois-Fraser-ES","Nadina River",5,2016,2022
"Francois-Fraser-S","Stellako River",35,1989,2022
"Harrison (U/S)-L","Weaver Creek",1,1996,1996
"Harrison River (River-Type)","Harrison River",10,2009,2022
"Kamloops-ES","Raft River",1,2000,2000
"Lillooet-Harrison-L","Birkenhead River",3,2013,2016
"North Barriere - ES","Barriere River (Upper)",4,1988,1996
"Quesnel-S","Horsefly River",2,2007,2010
"Quesnel-S","Mitchell River",3,1994,2010
"Shuswap Complex-L","Adams River (Lower)",10,1994,2022
"Shuswap Complex-L","Eagle River",1,2018,2018
"Shuswap Complex-L","Little River",4,2006,2022
"Shuswap-ES","Adams River (Upper)",1,2000,2000
"Shuswap-ES","Eagle River",2,1998,2014
"Shuswap-ES","Scotch Creek",1,2018,2018
"Shuswap-ES","Seymour River",7,1994,2018
"Takla-Trembleur-Estu","Crow Creek",1,1996,1996
"Takla-Trembleur-Estu","Dust Creek",2,2001,2002
"Takla-Trembleur-Estu","Forfar Creek",17,1990,2009
"Takla-Trembleur-Estu","Gluske Creek",18,1990,2009
"Takla-Trembleur-Estu","Narrows Creek",1,1996,1996
"Takla-Trembleur-Estu","O' Ne-Ell Creek",13,1991,2004
"Takla-Trembleur-Estu","Paula Creek",1,1996,1996
"Takla-Trembleur-Stuart-S","Kuzkwa River",1,2005,2005
"Takla-Trembleur-Stuart-S","Middle River",2,1997,2005
"Takla-Trembleur-Stuart-S","Tachie River",12,1994,2021
