"Method","Set","SizeOrSystem","SampleSize","Intercept","Int.Error","Slope","Slp.Error","R2"
"Both","Size-Aggregate (2)","Large-X-Large",38,-3.02,1.33,1.14,0.11,73.91
"Aerial","Size-Aggregate (2)","Large-X-Large",30,-2.77,1.69,1.12,0.15,67.65
"Ground","Size-Aggregate (2)","Large-X-Large",8,-2.37,2.51,1.1,0.2,83.15
"Both","Size-Aggregate (2)","Small-Medium",124,0.07,0.18,0.92,0.02,95.37
"Aerial","Size-Aggregate (2)","Small-Medium",39,-0.88,0.81,0.99,0.07,83.16
"Ground","Size-Aggregate (2)","Small-Medium",85,-0.22,0.16,0.96,0.02,97.46
"Ground","Individual (5)","Adams River (Lower)",7,-3.14,2.75,1.16,0.22,84.77
"Ground","Individual (5)","Forfar Creek",17,-0.53,0.45,1,0.05,96.11
"Ground","Individual (5)","Gluske Creek",18,-0.6,0.29,1.02,0.04,98.02
"Aerial","Individual (5)","Harrison River",10,-2.46,3.03,1.06,0.27,65.76
"Ground","Individual (5)","O' Ne-Ell Creek",13,-0.15,0.72,0.96,0.08,92.63
"Aerial","Individual (5)","Stellako River",14,0.3,1.75,0.91,0.15,74.37
"Ground","Individual (5)","Stellako River",21,1.95,1.26,0.77,0.11,71.79
"Aerial","Individual (5)","Tachie River",12,-2.78,2.22,1.14,0.19,78.3
