"parameter","Estimate","std.error","cross.zero"
"(Intercept)",11.2714673191318,0.202170713093219,"No"
"sizeSmall",-1.47279949990114,0.182672545969805,"No"
"lnlpe.sc",1.29587352194743,0.188730255009621,"No"
"sizeMedium",-0.929175409922955,0.180660416411913,"No"
"lnlpe.sc:sizeSmall",0.512957847684015,0.158764331445214,"No"
"substrate_shadeLight",0.337094767919562,0.111671368187841,"No"
"lnlpe.sc:substrate_shadeMedium",-0.310670142924549,0.121214699607726,"No"
"sizeX-Large",-0.235840000960688,0.192130714241991,"No"
"lnlpe.sc:sizeX-Large",-0.215190866107119,0.17503338417932,"No"
"substrate_shadeMedium",0.211954491837498,0.110705935425826,"No"
"lnlpe.sc:substrate_shadeLight",-0.198162586971839,0.128013625034068,"No"
"lnlpe.sc:sizeMedium",0.167867172027446,0.165251317843812,"No"
