"lnlpe.sc","lpe_method","size","substrate_shade","water_clarity","lnlpe.sc:lpe_method","lnlpe.sc:size","lnlpe.sc:substrate_shade","lnlpe.sc:water_clarity","AICc","delta"
0.721567202707282,,"+",,,,,,,947.87,0
0.777451351633129,,,,"+",,,,,948.22,0.35
0.765761860837925,,,,,,,,,949.44,1.58
0.743829312372982,,"+",,"+",,,,,949.66,1.8
0.738837559552988,"+","+",,,,,,,949.71,1.84
0.77390585566754,,,"+",,,,,,950.17,2.31
0.793289475457677,,"+",,,,"+",,,950.28,2.42
0.791095942727341,"+",,,"+",,,,,950.75,2.89
0.771228225441218,,"+","+",,,,,,950.85,2.98
0.784703930487131,,,,"+",,,,"+",950.86,2.99
