"abin","type","water_clarity","n","MPE","MAPE","RMSE","R.Cor","total.expanded","avg.high.accuracy"
"0-25K","historical","Clear",53,10,20.6,2113,92.8,370760,6553
"0-25K","historical","Turbid/Tannic",7,-22.6,30.7,4316,85.6,73337,13135
"0-25K","updated","Clear",53,3,13.8,1887,93.8,351464,6553
"0-25K","updated","Turbid/Tannic",7,13.7,23.4,4491,84.9,104337,13135
"25-75k","historical","Clear",30,-16.3,30.6,19505,17.7,1008938,43327
"25-75k","historical","Turbid/Tannic",13,-37.6,40.7,22511,72.6,432409,50290
"25-75k","updated","Clear",30,6.7,33.1,21321,36.1,1332460,43327
"25-75k","updated","Turbid/Tannic",13,-6.3,29.3,20863,71.5,637203,50290
"75k+","historical","Clear",45,-21.6,34,84619,83,5738425,173938
"75k+","historical","Turbid/Tannic",14,-41.5,43.2,94889,89.3,2064940,223004
"75k+","updated","Clear",45,-6.7,25.1,55712,92.6,7400078,173938
"75k+","updated","Turbid/Tannic",14,-11.5,40.2,125576,87.2,3187707,223004
