"abin","type","size","lpe_method","water_clarity","n","MPE","MAPE","RMSE","total.expanded","avg.high.accuracy"
"0-25K","historical","Small","Ground","Clear",51,11.6,20.1,1885,351344,6244
"0-25K","updated","Small","Ground","Clear",51,2.7,12.4,1306,319901,6244
"0-25K","historical","Small","Ground","Turbid/Tannic",2,-28.8,28.8,2169,21470,12710
"0-25K","updated","Small","Ground","Turbid/Tannic",2,2.8,5.9,1411,27338,12710
"0-25K","historical","Medium","Aerial","Clear",1,-17.6,17.6,2401,11281,13682
"0-25K","updated","Medium","Aerial","Clear",1,61,61,8350,22032,13682
"0-25K","historical","Medium","Aerial","Turbid/Tannic",4,-17.1,31.2,4972,42149,13026
"0-25K","updated","Medium","Aerial","Turbid/Tannic",4,13.5,28.8,5223,57281,13026
"0-25K","historical","Medium","Ground","Turbid/Tannic",1,-32.6,32.6,4702,9718,14420
"0-25K","updated","Medium","Ground","Turbid/Tannic",1,36.7,36.7,5298,19718,14420
"0-25K","historical","X-Large","Aerial","Clear",1,-46.4,46.4,7041,8136,15177
"0-25K","updated","X-Large","Aerial","Clear",1,-37.2,37.2,5646,9531,15177
"25-75k","historical","Small","Ground","Clear",5,0.7,9.3,3375,152660,29974
"25-75k","updated","Small","Ground","Clear",5,-3.6,7.2,2211,145208,29974
"25-75k","historical","Medium","Aerial","Clear",10,-15.9,29.5,14144,363413,44887
"25-75k","updated","Medium","Aerial","Clear",10,25.5,33.7,16270,543265,44887
"25-75k","historical","Medium","Aerial","Turbid/Tannic",5,-56.3,56.3,24978,91170,41296
"25-75k","updated","Medium","Aerial","Turbid/Tannic",5,-17.8,23,11031,168689,41296
"25-75k","historical","Medium","Ground","Clear",9,4.2,23,11076,382781,43525
"25-75k","updated","Medium","Ground","Clear",9,16,28,13299,436495,43525
"25-75k","historical","Medium","Ground","Turbid/Tannic",1,-17.1,17.1,9633,46559,56192
"25-75k","updated","Medium","Ground","Turbid/Tannic",1,12.6,12.6,7081,63273,56192
"25-75k","historical","Large","Aerial","Clear",1,-45.2,45.2,23823,28890,52713
"25-75k","updated","Large","Aerial","Clear",1,-8.8,8.8,4627,48086,52713
"25-75k","historical","Large","Ground","Clear",1,-33.7,33.7,17784,34929,52713
"25-75k","updated","Large","Ground","Clear",1,95.3,95.3,50255,102968,52713
"25-75k","historical","X-Large","Aerial","Clear",4,-72.7,72.7,42920,46265,50981
"25-75k","updated","X-Large","Aerial","Clear",4,-66.3,66.3,41313,56438,50981
"25-75k","historical","X-Large","Aerial","Turbid/Tannic",7,-27.2,33,21958,294680,55871
"25-75k","updated","X-Large","Aerial","Turbid/Tannic",7,-0.8,36.2,26725,405241,55871
"75k+","historical","Small","Aerial","Clear",1,-49.7,49.7,40350,40819,81169
"75k+","updated","Small","Aerial","Clear",1,-53.7,53.7,43586,37583,81169
"75k+","historical","Medium","Aerial","Clear",14,-12.5,27.1,41723,1519385,123364
"75k+","updated","Medium","Aerial","Clear",14,-5,20.1,31478,1642219,123364
"75k+","historical","Medium","Aerial","Turbid/Tannic",4,-46.6,46.6,97466,370307,178427
"75k+","updated","Medium","Aerial","Turbid/Tannic",4,-23.5,23.5,71417,501683,178427
"75k+","historical","Medium","Ground","Clear",16,-3.1,24.8,41843,1834157,123146
"75k+","updated","Medium","Ground","Clear",16,6.4,21.6,33038,2002305,123146
"75k+","historical","Large","Aerial","Clear",2,-79.6,79.6,207804,105336,247190
"75k+","updated","Large","Aerial","Clear",2,-63.9,63.9,159221,190646,247190
"75k+","historical","Large","Ground","Clear",6,-42.1,42.1,152090,1573252,404848
"75k+","updated","Large","Ground","Clear",6,-0.8,18.1,71010,2516283,404848
"75k+","historical","X-Large","Aerial","Clear",5,-52.9,52.9,91692,569896,199546
"75k+","updated","X-Large","Aerial","Clear",5,-30.1,41.3,71340,877873,199546
"75k+","historical","X-Large","Aerial","Turbid/Tannic",10,-39.4,41.8,93839,1694633,240835
"75k+","updated","X-Large","Aerial","Turbid/Tannic",10,-6.7,46.9,141552,2686024,240835
"75k+","historical","X-Large","Ground","Clear",1,-25,25,31806,95580,127386
"75k+","updated","X-Large","Ground","Clear",1,4.5,4.5,5784,133170,127386
